,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,Gender,Age,cluster
52,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,Female,58,1
53,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Once a month,Male,48,0
54,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,54,1
55,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,Male,62,1
56,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Once a year,Female,52,0
57,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Every three months,Male,53,1
58,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,More than once a week,Male,47,1
59,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,Female,26,1
60,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,5,Once a week,Female,29,1
61,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Once a week,Male,24,1
62,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,25,1
63,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Once a month,Male,54,1
64,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Female,23,1
65,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,Never,Female,34,1
66,No,Yes,No,No,No,No,No,No,Yes,No,No,1,Every three months,Male,47,1
67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Once a week,Male,22,1
68,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,Once a year,Male,47,1
69,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Male,56,1
70,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,Every three months,Male,55,0
71,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,56,1
72,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,Every three months,Female,56,1
73,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,37,1
74,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,50,1
75,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,Every three months,Male,40,0
76,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Male,61,1
77,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,Every three months,Male,55,0
78,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,Once a year,Female,45,0
79,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,Once a month,Male,42,1
80,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,2,Every three months,Male,52,1
81,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a year,Female,58,1
82,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,Male,48,1
83,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Male,58,1
84,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,Once a year,Male,18,0
85,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,68,1
86,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1,Once a month,Female,49,1
87,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,-5,Once a week,Female,50,0
88,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,Female,43,1
89,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,4,Every three months,Male,67,1
90,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a week,Female,40,1
91,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-5,Never,Male,35,0
92,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Every three months,Female,42,0
93,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,Female,41,1
94,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a month,Male,32,1
95,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,3,Once a month,Female,21,1
96,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,Female,56,1
97,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,2,Every three months,Male,27,1
98,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Once a year,Female,48,1
99,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a week,Male,32,1
100,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,3,Once a month,Male,50,1
101,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Once a year,Female,42,1
102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,More than once a week,Male,35,1
103,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,57,1
104,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Once a month,Male,68,1
105,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,3,Once a month,Female,51,1
106,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,Every three months,Female,42,0
107,No,Yes,No,Yes,No,No,No,No,No,No,No,0,Every three months,Female,44,1
108,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a year,Female,57,1
109,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,Female,56,1
110,No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,Every three months,Female,57,0
111,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,5,Once a week,Female,33,1
112,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,Every three months,Male,63,0
113,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,Male,55,1
114,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,Every three months,Female,39,1
115,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Never,Male,65,0
116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a week,Female,47,1
117,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,Every three months,Female,37,1
118,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,Once a year,Male,22,0
119,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Every three months,Male,51,0
120,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,24,1
121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,Once a month,Female,49,1
122,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,5,Once a month,Female,55,1
123,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,Male,48,0
124,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Every three months,Female,24,1
125,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,Every three months,Male,47,0
126,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,Once a year,Male,54,0
127,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Female,23,1
128,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,Every three months,Female,34,1
129,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,3,Once a month,Female,32,1
130,No,Yes,No,No,No,Yes,Yes,No,No,No,No,3,Once a month,Female,58,1
131,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a year,Female,46,1
132,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,Female,23,1
133,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a month,Male,31,1
134,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a year,Male,59,1
135,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,Once a month,Male,47,1
136,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,More than once a week,Female,58,1
137,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Every three months,Male,55,1
138,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,4,Once a month,Female,62,1
139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Male,20,1
140,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,Male,42,1
141,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Once a month,Male,29,0
142,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,1,Once a month,Male,63,1
143,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2,Once a week,Male,26,1
144,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,Female,19,1
145,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a year,Female,61,1
146,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,5,Once a week,Male,19,1
147,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,4,Once a month,Female,56,1
148,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,Female,39,0
149,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Once a month,Male,45,1
150,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,Male,52,0
151,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,Once a month,Female,42,1
152,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Female,47,1
153,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,Female,22,1
154,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Male,63,1
155,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Every three months,Female,65,1
156,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,Every three months,Male,63,1
157,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Male,25,1
158,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,Male,62,1
159,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,Once a year,Female,59,1
160,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,Male,67,1
161,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,60,0
162,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,Once a week,Male,69,1
163,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,40,0
164,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Once a year,Male,67,1
165,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,Female,37,1
166,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,Every three months,Male,65,0
167,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Female,64,1
168,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,57,1
169,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,Once a week,Male,37,1
170,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2,Once a month,Female,39,1
171,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,Every three months,Male,64,1
172,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,Once a year,Male,23,0
173,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,Once a week,Female,50,1
174,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Every three months,Male,60,0
175,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,Once a year,Male,32,0
176,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,59,0
177,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,Once a month,Male,37,0
178,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,3,More than once a week,Female,25,1
179,No,Yes,No,No,No,Yes,No,No,No,No,No,3,Once a month,Male,55,1
180,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,Once a month,Male,25,0
181,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,Once a year,Female,35,0
182,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,Female,58,0
183,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Male,32,0
184,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-5,Never,Female,45,0
185,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Once a year,Female,60,0
186,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a year,Male,59,1
187,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Once a month,Female,36,1
188,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,Once a year,Male,55,0
189,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Every three months,Female,55,1
190,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Female,22,1
191,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a week,Female,21,1
192,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a week,Male,62,1
193,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Male,29,1
194,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,Once a month,Female,36,1
195,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Once a year,Male,44,1
196,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,Female,47,1
197,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,Female,57,0
198,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a year,Female,23,1
199,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,31,1
200,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,More than once a week,Female,70,1
201,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Male,24,1
202,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,Male,27,1
203,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,58,0
204,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,2,Once a week,Male,51,1
205,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,Every three months,Male,36,0
206,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a month,Female,36,1
207,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,Every three months,Male,43,0
208,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,Never,Male,64,0
209,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,Once a month,Male,52,0
210,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Never,Male,53,1
211,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Female,52,0
212,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a week,Female,33,1
213,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Male,24,1
214,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,4,Once a month,Female,64,1
215,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,Once a month,Male,41,1
216,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,-5,Once a year,Female,56,0
217,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,49,1
218,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,Once a year,Female,24,0
219,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Every three months,Female,62,1
220,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,Every three months,Male,56,1
221,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,3,Every three months,Male,67,1
222,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,27,1
223,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,Once a year,Male,53,0
224,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,Once a year,Female,60,0
225,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a year,Female,51,1
226,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-5,Once a year,Female,67,0
227,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Female,27,1
228,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Every three months,Male,56,1
229,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Male,39,1
230,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Female,35,1
231,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,68,1
232,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,57,1
233,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,50,0
234,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,64,1
235,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Once a week,Female,66,0
236,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Male,27,1
237,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Never,Male,70,0
238,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,Once a month,Male,51,0
239,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,Female,60,1
240,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,Once a year,Female,49,0
241,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,54,0
242,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Female,58,0
243,No,No,No,No,No,Yes,Yes,No,No,No,No,-3,Once a month,Female,70,0
244,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,3,More than once a week,Male,59,1
245,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,1,Once a year,Female,54,1
246,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,Every three months,Female,52,0
247,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a week,Female,22,1
248,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,Female,53,1
249,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Female,69,1
250,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Every three months,Male,20,1
251,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,3,Once a month,Female,66,1
252,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,More than once a week,Female,25,1
253,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,5,Once a week,Female,31,1
254,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,Once a month,Female,67,1
255,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Female,56,1
256,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,Female,48,1
257,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Every three months,Female,54,0
258,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Male,58,1
259,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,Female,42,1
260,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,Once a week,Female,38,1
261,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,Every three months,Male,28,1
262,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a week,Female,47,1
263,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a year,Male,49,1
264,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,Female,40,1
265,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,Once a week,Male,31,1
266,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-5,Never,Male,50,0
267,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,Once a year,Female,69,0
268,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,40,1
269,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5,Once a month,Male,30,1
270,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,Once a year,Male,44,0
271,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Male,32,1
272,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,Male,67,1
273,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,18,1
274,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Once a year,Female,27,0
275,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,Once a year,Female,61,0
