,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Visits/year,Gender,Age,cluster
37,0,1,0,1,1,1,1,0,0,0,1,-5,4,Female,49,0
38,0,0,0,1,1,1,1,0,0,0,1,-4,0,Female,35,0
39,0,0,0,1,1,1,0,0,1,0,1,-4,1,Male,55,0
40,1,0,0,1,0,0,0,1,1,0,0,2,1,Male,31,1
41,1,1,0,1,0,1,1,1,0,1,0,3,96,Male,57,1
42,1,1,1,1,0,1,1,1,0,1,0,4,96,Male,69,1
43,1,1,0,1,0,1,0,1,0,0,0,3,4,Female,37,1
44,0,1,0,1,1,1,1,0,0,0,1,-5,0,Male,60,0
45,1,1,1,1,1,1,1,1,1,1,1,2,12,Male,36,1
46,0,1,0,0,0,1,0,1,0,1,0,1,4,Male,54,1
47,1,1,0,1,0,1,0,1,1,0,0,4,12,Male,66,1
48,1,1,0,1,0,1,1,1,0,0,0,0,12,Female,32,1
49,1,1,0,1,1,1,1,1,0,0,0,2,1,Male,67,1
50,0,1,1,1,1,1,0,0,1,0,1,-4,48,Female,42,0
51,1,1,0,1,1,1,1,0,0,0,0,2,12,Female,26,1
52,1,1,0,1,1,1,0,1,1,0,0,1,1,Female,58,1
53,0,1,0,1,0,1,0,0,1,0,1,-5,12,Male,48,0
54,1,1,0,0,0,1,1,1,0,1,0,4,12,Female,54,1
55,0,1,0,1,0,1,1,1,0,0,0,0,1,Male,62,1
56,0,1,0,1,1,1,1,0,0,0,1,-4,1,Female,52,0
57,0,1,0,1,1,1,1,0,0,0,0,0,4,Male,53,1
58,1,1,0,1,0,1,1,1,0,0,0,4,96,Male,47,1
59,1,1,0,1,1,1,1,1,0,0,0,5,12,Female,26,1
60,1,1,0,1,1,1,0,1,0,0,0,5,48,Female,29,1
61,1,1,0,1,1,1,1,1,0,1,0,3,48,Male,24,1
62,1,1,0,1,0,1,1,1,0,1,0,5,48,Female,25,1
63,0,1,0,1,1,1,0,0,1,0,0,0,12,Male,54,1
64,1,1,0,1,1,1,1,1,0,0,0,4,12,Female,23,1
65,0,0,0,1,0,1,0,0,1,0,1,0,0,Female,34,1
66,0,1,0,0,0,0,0,0,1,0,0,1,4,Male,47,1
67,1,1,1,1,1,1,1,1,1,1,1,3,48,Male,22,1
68,0,1,0,1,0,1,1,1,0,1,0,0,1,Male,47,1
69,1,1,0,1,0,1,1,1,0,0,0,4,12,Male,56,1
70,0,1,0,1,0,1,1,0,0,1,0,-1,4,Male,55,0
71,1,1,0,0,0,1,1,1,0,1,0,3,4,Female,56,1
72,0,1,0,1,0,0,0,1,1,0,0,0,4,Female,56,1
73,0,1,0,1,1,1,1,1,0,0,0,2,4,Female,37,1
74,1,1,0,0,0,1,1,1,0,1,0,5,48,Female,50,1
75,0,1,0,1,1,0,0,0,1,0,1,-1,4,Male,40,0
76,1,1,0,1,0,1,1,1,0,0,0,4,48,Male,61,1
77,0,1,0,1,0,1,0,0,1,0,0,-2,4,Male,55,0
78,1,1,1,1,1,1,0,1,1,0,0,-1,1,Female,45,0
79,1,1,0,0,0,1,1,1,0,1,0,1,12,Male,42,1
80,0,1,0,1,1,1,0,0,0,0,1,2,4,Male,52,1
81,0,1,0,1,0,1,1,1,0,0,0,2,1,Female,58,1
82,0,1,0,1,0,1,1,1,0,0,0,1,12,Male,48,1
83,1,1,0,0,0,1,1,1,0,1,0,3,48,Male,58,1
84,0,0,0,1,1,1,0,1,1,0,0,-3,1,Male,18,0
85,1,1,0,0,0,1,1,1,0,0,0,4,12,Female,68,1
86,1,1,0,1,1,1,1,1,1,0,1,1,12,Female,49,1
87,0,1,0,1,1,0,0,1,1,0,0,-5,48,Female,50,0
88,1,1,0,1,0,1,0,1,1,0,0,2,4,Female,43,1
89,1,1,1,1,0,1,1,1,1,0,0,4,4,Male,67,1
90,1,1,0,1,0,1,1,1,0,0,0,1,48,Female,40,1
91,1,1,0,1,1,1,1,1,0,0,1,-5,0,Male,35,0
92,0,0,0,1,1,0,0,0,1,0,1,-5,4,Female,42,0
93,0,1,0,1,0,1,1,1,0,0,0,2,4,Female,41,1
94,1,1,0,1,1,1,1,1,0,1,0,4,12,Male,32,1
95,1,1,0,1,1,1,0,1,0,0,0,3,12,Female,21,1
96,0,1,0,1,1,1,1,1,0,0,0,4,48,Female,56,1
97,0,1,0,1,1,1,0,0,0,0,0,2,4,Male,27,1
98,0,1,0,1,1,1,0,0,1,0,0,0,1,Female,48,1
99,1,1,0,1,0,1,1,1,0,0,0,2,48,Male,32,1
100,0,1,0,1,1,1,1,0,0,0,0,3,12,Male,50,1
101,1,1,0,1,1,1,0,1,1,0,0,2,1,Female,42,1
102,1,1,1,1,1,1,1,1,1,1,1,5,96,Male,35,1
103,1,1,1,1,0,1,1,1,0,0,0,4,12,Female,57,1
104,1,1,0,1,0,1,0,1,0,0,0,3,12,Male,68,1
105,0,1,0,1,0,1,0,0,1,0,0,3,12,Female,51,1
106,1,1,0,1,1,0,0,1,1,0,1,-2,4,Female,42,0
107,0,1,0,1,0,0,0,0,0,0,0,0,4,Female,44,1
108,1,1,0,1,0,1,1,1,0,0,0,2,1,Female,57,1
109,0,1,0,1,1,1,1,0,0,0,0,2,1,Female,56,1
110,0,1,1,1,0,0,0,0,0,0,0,-2,4,Female,57,0
111,1,1,0,0,0,1,0,1,1,1,0,5,48,Female,33,1
112,0,0,0,1,1,0,0,0,1,0,1,-3,4,Male,63,0
113,1,1,0,1,0,1,0,1,1,0,0,2,12,Male,55,1
114,0,1,0,1,1,0,0,0,1,0,0,0,4,Female,39,1
115,0,1,0,1,0,1,1,0,0,0,0,-3,0,Male,65,0
116,1,1,1,1,1,1,1,1,0,1,0,4,48,Female,47,1
117,1,1,0,1,0,1,1,1,0,1,0,1,4,Female,37,1
118,0,1,0,1,1,1,1,0,0,0,1,-1,1,Male,22,0
119,0,1,0,1,1,1,1,0,0,0,0,-2,4,Male,51,0
120,1,1,0,0,0,1,1,1,0,1,0,5,12,Female,24,1
121,1,1,1,1,1,1,1,1,1,0,0,1,12,Female,49,1
122,1,1,0,1,0,1,0,1,1,1,0,5,12,Female,55,1
123,0,1,0,1,0,1,1,0,0,0,1,-5,1,Male,48,0
124,1,1,0,1,1,1,1,1,0,0,0,3,4,Female,24,1
125,0,1,0,1,0,1,0,1,1,0,0,-2,4,Male,47,0
126,0,1,0,1,0,1,1,0,0,0,1,-4,1,Male,54,0
127,1,1,0,1,0,1,1,1,0,0,0,4,48,Female,23,1
128,0,1,0,1,1,1,1,0,0,1,0,1,4,Female,34,1
129,1,1,0,1,1,1,1,1,0,0,1,3,12,Female,32,1
130,0,1,0,0,0,1,1,0,0,0,0,3,12,Female,58,1
131,0,1,0,1,0,1,0,0,1,0,0,0,1,Female,46,1
132,1,1,0,1,0,1,1,1,0,0,0,0,4,Female,23,1
133,1,1,0,1,1,1,1,1,0,0,0,1,12,Male,31,1
134,0,1,0,1,1,1,1,1,0,0,0,0,1,Male,59,1
135,0,1,1,1,1,1,0,0,1,1,0,0,12,Male,47,1
136,1,1,0,1,0,1,1,1,0,0,0,3,96,Female,58,1
137,1,1,0,1,0,1,1,1,0,0,0,4,4,Male,55,1
138,1,1,0,1,1,0,1,1,0,0,0,4,12,Female,62,1
139,1,1,0,1,1,1,1,1,0,0,0,2,12,Male,20,1
140,0,1,0,1,0,1,1,1,0,0,0,0,4,Male,42,1
141,0,1,0,1,1,1,1,0,0,0,1,-3,12,Male,29,0
142,0,1,0,1,0,1,0,0,1,0,0,1,12,Male,63,1
143,0,1,0,1,1,1,1,1,0,0,1,2,48,Male,26,1
144,1,0,0,1,1,1,1,1,0,0,0,5,12,Female,19,1
145,1,1,0,1,0,1,1,1,0,0,0,1,1,Female,61,1
146,1,1,0,1,1,1,0,1,1,0,0,5,48,Male,19,1
147,1,1,0,1,0,1,0,1,1,1,0,4,12,Female,56,1
148,0,1,0,1,1,1,0,0,1,0,1,-4,1,Female,39,0
149,1,1,0,1,1,1,0,1,1,0,0,0,12,Male,45,1
150,0,0,0,1,1,0,0,0,1,0,1,-5,1,Male,52,0
151,1,1,0,0,0,1,1,1,0,1,0,0,12,Female,42,1
152,1,1,0,1,1,1,0,1,1,0,0,3,12,Female,47,1
153,1,1,0,1,0,1,1,1,0,0,0,5,48,Female,22,1
154,1,1,1,1,1,1,1,1,0,0,0,2,12,Male,63,1
155,1,1,0,1,1,1,1,1,0,0,0,5,4,Female,65,1
156,0,1,0,0,0,1,1,1,0,0,0,1,4,Male,63,1
157,1,1,0,1,1,1,0,1,1,0,0,3,12,Male,25,1
158,1,1,0,1,1,1,0,1,1,0,0,1,1,Male,62,1
159,0,1,0,1,1,0,1,0,0,0,0,0,1,Female,59,1
160,0,1,0,1,1,1,1,1,0,0,0,1,1,Male,67,1
161,0,0,0,1,1,1,0,0,1,0,1,-5,0,Male,60,0
162,1,1,0,0,0,1,1,1,0,1,0,4,48,Male,69,1
163,0,0,0,1,1,1,0,0,1,0,1,-5,0,Male,40,0
164,1,1,0,0,0,1,1,1,0,1,0,2,1,Male,67,1
165,1,1,0,0,0,1,1,1,0,1,0,2,4,Female,37,1
166,0,1,1,0,1,1,0,0,1,0,0,-4,4,Male,65,0
167,1,1,0,1,0,1,0,1,1,0,0,3,12,Female,64,1
168,1,1,0,1,0,1,1,1,0,0,0,4,12,Female,57,1
169,1,1,0,1,1,1,0,1,1,1,0,5,48,Male,37,1
170,1,1,0,1,1,1,0,1,1,1,0,2,12,Female,39,1
171,1,1,0,1,0,1,0,1,0,0,0,1,4,Male,64,1
172,1,1,0,1,1,1,1,1,0,0,1,-2,1,Male,23,0
173,1,0,1,1,1,1,1,0,0,0,1,2,48,Female,50,1
174,0,1,0,1,1,1,0,0,1,0,1,-4,4,Male,60,0
175,0,1,0,1,1,1,0,0,1,0,1,-2,1,Male,32,0
176,0,1,0,1,1,1,1,0,0,0,1,-5,0,Female,59,0
177,0,0,0,1,0,1,0,0,1,0,1,-2,12,Male,37,0
178,1,1,0,1,1,1,0,1,0,1,0,3,96,Female,25,1
179,0,1,0,0,0,1,0,0,0,0,0,3,12,Male,55,1
180,0,1,0,1,1,1,0,1,1,0,1,-2,12,Male,25,0
181,0,1,0,0,0,1,1,0,0,1,1,-3,1,Female,35,0
182,0,0,1,1,1,1,1,0,0,0,1,-4,0,Female,58,0
183,0,1,0,1,1,1,1,0,0,0,1,-5,0,Male,32,0
184,1,1,0,1,1,1,1,1,1,0,1,-5,0,Female,45,0
185,0,1,0,1,0,1,0,0,1,0,0,-3,1,Female,60,0
186,0,1,0,1,0,1,1,1,0,0,0,3,1,Male,59,1
187,0,1,0,1,0,1,1,0,0,0,0,0,12,Female,36,1
188,0,1,0,1,1,1,1,0,0,0,1,0,1,Male,55,0
189,1,1,0,1,0,1,1,0,0,0,0,1,4,Female,55,1
190,1,1,0,1,0,1,0,1,1,0,0,3,12,Female,22,1
191,1,1,0,1,1,1,1,1,0,0,0,3,48,Female,21,1
192,1,1,0,1,1,1,1,1,0,0,0,1,48,Male,62,1
193,1,1,0,1,1,1,1,1,0,0,0,3,12,Male,29,1
194,1,1,0,1,1,1,1,1,0,1,0,1,12,Female,36,1
195,0,1,0,1,1,1,0,0,0,0,0,0,1,Male,44,1
196,0,1,0,1,1,1,1,0,0,0,0,2,1,Female,47,1
197,0,0,0,1,1,0,0,0,1,0,1,-5,1,Female,57,0
198,0,1,0,1,0,1,1,1,0,0,0,1,1,Female,23,1
199,1,1,0,1,1,1,1,1,0,0,0,5,48,Female,31,1
200,1,1,0,0,0,1,1,1,0,1,0,4,96,Female,70,1
201,1,1,1,1,0,1,1,1,0,1,0,5,48,Male,24,1
202,0,1,0,1,1,1,0,1,1,0,0,3,4,Male,27,1
203,0,1,0,1,1,1,1,0,0,0,1,-5,0,Female,58,0
204,0,1,1,1,0,1,1,0,0,0,0,2,48,Male,51,1
205,0,0,0,1,1,0,0,0,1,0,1,-2,4,Male,36,0
206,0,1,0,1,0,1,1,1,0,0,0,0,12,Female,36,1
207,0,0,1,1,1,1,0,0,1,0,1,0,4,Male,43,0
208,0,1,1,1,1,0,0,0,1,0,1,-3,0,Male,64,0
209,0,1,0,1,0,1,0,0,1,0,1,-3,12,Male,52,0
210,0,1,0,1,0,1,1,1,0,0,0,1,0,Male,53,1
211,0,1,0,1,1,1,0,0,1,0,1,-5,0,Female,52,0
212,1,1,1,1,1,1,1,1,0,0,0,3,48,Female,33,1
213,1,1,0,1,1,1,1,1,0,0,0,5,48,Male,24,1
214,1,1,0,0,0,1,0,1,0,0,0,4,12,Female,64,1
215,1,1,1,1,1,1,0,1,1,1,1,3,12,Male,41,1
216,0,0,0,1,1,0,1,0,0,0,1,-5,1,Female,56,0
217,1,1,0,1,0,1,1,1,0,1,0,4,12,Female,49,1
218,1,0,0,1,1,1,0,1,1,0,0,-1,1,Female,24,0
219,0,1,0,1,0,1,1,0,0,0,0,2,4,Female,62,1
220,0,1,0,0,0,1,1,1,0,0,0,0,4,Male,56,1
221,1,1,0,1,1,0,0,1,0,0,0,3,4,Male,67,1
222,1,1,0,1,0,1,1,1,0,0,0,3,12,Male,27,1
223,0,1,0,1,0,1,0,0,1,0,1,-4,1,Male,53,0
224,1,1,1,1,0,1,1,1,0,1,1,-4,1,Female,60,0
225,0,1,0,1,1,1,1,1,0,0,0,0,1,Female,51,1
226,0,1,1,1,1,1,0,1,1,0,0,-5,1,Female,67,0
227,1,1,0,1,0,1,1,1,0,0,0,3,12,Female,27,1
228,0,1,0,1,1,1,0,0,1,0,0,0,4,Male,56,1
229,1,1,0,1,1,1,1,1,0,0,0,4,12,Male,39,1
230,1,1,0,1,0,1,1,1,0,0,0,4,48,Female,35,1
231,1,1,0,1,1,1,1,1,0,0,0,2,12,Female,68,1
232,1,1,0,0,1,1,1,1,0,1,0,5,48,Female,57,1
233,0,1,0,1,1,1,1,0,0,0,1,-5,0,Female,50,0
234,1,1,0,0,0,1,1,1,0,1,0,3,12,Female,64,1
235,0,1,0,1,0,1,1,0,0,0,0,-3,48,Female,66,0
236,1,1,1,0,0,1,1,1,0,1,0,5,96,Male,27,1
237,0,0,0,1,0,1,0,0,1,0,1,-5,0,Male,70,0
238,0,1,0,1,1,0,1,1,1,0,0,-1,12,Male,51,0
239,1,1,0,1,0,1,1,1,0,0,0,0,1,Female,60,1
240,0,0,0,1,0,1,0,0,1,0,1,-4,1,Female,49,0
241,0,1,0,1,1,1,1,0,0,0,1,-5,0,Female,54,0
242,0,0,0,1,1,1,0,0,1,0,1,-5,0,Female,58,0
243,0,0,0,0,0,1,1,0,0,0,0,-3,12,Female,70,0
244,1,1,0,0,0,1,0,1,1,0,0,3,96,Male,59,1
245,0,1,0,1,0,1,1,0,0,1,0,1,1,Female,54,1
246,0,1,1,0,1,1,0,0,1,0,0,-3,4,Female,52,0
247,1,1,0,1,1,1,1,1,0,1,0,4,48,Female,22,1
248,1,1,0,1,1,1,0,1,1,0,0,3,4,Female,53,1
249,1,1,0,0,0,1,1,1,0,1,0,5,96,Female,69,1
250,0,1,1,1,1,1,0,0,1,0,1,1,4,Male,20,1
251,1,1,1,1,0,1,1,0,0,0,0,3,12,Female,66,1
252,1,1,0,1,0,1,1,1,0,0,0,5,96,Female,25,1
253,1,1,0,1,1,1,0,1,1,0,0,5,48,Female,31,1
254,1,1,0,1,0,1,1,1,0,1,0,1,12,Female,67,1
255,1,1,1,1,0,1,1,1,0,0,0,3,12,Female,56,1
256,0,1,0,1,1,1,1,1,0,0,0,1,1,Female,48,1
257,0,1,0,1,0,1,1,0,0,0,0,-1,4,Female,54,0
258,1,1,0,0,0,1,1,1,0,1,0,5,12,Male,58,1
259,1,1,0,1,0,1,1,1,0,0,0,3,48,Female,42,1
260,1,1,0,1,0,1,0,1,0,0,0,4,48,Female,38,1
261,0,1,0,1,1,1,1,1,0,1,0,2,4,Male,28,1
262,1,1,0,1,0,1,0,1,1,0,0,3,48,Female,47,1
263,0,0,0,1,1,1,1,0,0,0,0,0,1,Male,49,1
264,0,1,0,1,1,1,1,1,0,0,1,0,4,Female,40,1
265,0,0,0,1,1,1,0,1,1,1,1,0,48,Male,31,1
266,0,1,1,1,1,1,1,0,0,0,0,-5,0,Male,50,0
267,1,0,1,1,0,1,1,1,0,0,0,-1,1,Female,69,0
268,1,1,0,1,0,1,1,1,0,1,0,4,12,Female,40,1
269,1,1,0,1,1,1,1,1,0,0,1,5,12,Male,30,1
270,0,1,0,1,1,1,1,1,0,0,1,-3,1,Male,44,0
271,1,1,0,1,1,1,0,1,1,0,0,3,12,Male,32,1
272,1,1,0,1,0,1,1,1,0,0,0,3,48,Male,67,1
273,1,1,0,1,1,1,1,1,0,0,0,5,48,Female,18,1
274,0,1,0,1,1,1,1,0,0,0,0,-3,1,Female,27,0
275,0,1,0,1,1,1,0,0,1,0,0,-1,1,Female,61,0
276,0,1,0,1,0,1,1,0,0,0,0,-4,1,Male,47,0
277,1,1,0,1,1,1,1,1,0,0,0,-4,4,Male,20,0
278,1,1,0,1,1,1,1,1,0,0,0,4,48,Male,26,1
279,0,1,0,1,0,1,1,0,0,0,0,-4,1,Female,65,0
280,0,0,1,1,1,0,0,0,1,0,1,-5,0,Male,64,0
281,1,1,0,1,1,1,1,1,0,1,0,5,48,Male,20,1
282,1,1,0,1,1,0,0,1,1,0,0,2,12,Female,29,1
283,1,1,1,1,1,1,0,1,1,0,0,2,12,Female,45,1
284,1,0,0,1,0,1,1,1,0,0,0,0,1,Female,31,1
285,1,1,0,1,1,1,1,1,0,0,0,5,48,Female,41,1
286,0,0,0,1,0,1,0,0,1,0,0,-5,0,Female,61,0
287,0,0,0,1,1,1,0,0,1,0,1,-5,0,Female,69,0
288,0,1,0,1,1,1,1,0,0,0,1,1,12,Male,28,1
289,0,1,0,0,0,1,0,0,0,0,0,3,12,Male,68,1
290,0,0,0,1,0,1,1,0,0,0,0,-4,0,Male,60,0
291,1,1,0,1,1,1,0,1,0,0,0,0,1,Female,56,1
292,0,1,0,1,0,1,0,0,1,0,0,0,1,Female,61,1
293,0,1,1,1,1,1,0,1,1,0,0,0,48,Male,61,1
294,0,1,0,1,0,1,1,0,0,0,0,-4,1,Male,63,0
295,0,1,0,1,0,1,1,1,0,0,0,3,12,Female,40,1
296,0,1,0,1,1,1,1,1,0,1,0,-1,4,Male,36,0
297,1,1,0,1,1,1,1,0,0,0,0,1,12,Female,30,1
298,1,1,0,1,0,1,0,1,1,0,0,4,12,Female,32,1
299,1,1,0,0,0,1,0,1,1,1,0,5,96,Male,37,1
300,1,1,0,1,0,0,1,1,0,1,0,3,48,Male,61,1
301,1,1,0,1,1,1,0,1,1,0,0,3,12,Female,34,1
302,1,1,0,1,1,1,0,1,1,0,0,1,12,Male,24,1
303,1,1,0,1,1,0,0,1,1,0,0,1,12,Male,39,1
304,0,1,0,1,0,1,0,1,1,0,0,0,4,Male,50,1
305,1,1,0,1,0,1,0,1,1,1,0,1,12,Male,46,1
306,1,1,0,1,0,1,0,0,1,0,0,2,12,Female,43,1
307,1,1,0,1,0,1,1,1,0,0,0,4,12,Male,36,1
308,1,0,0,0,1,0,0,1,1,0,1,-5,48,Male,26,0
309,1,1,0,1,0,1,1,1,0,1,0,2,12,Female,32,1
310,0,0,0,1,1,0,0,0,1,0,1,-5,0,Female,50,0
311,0,1,0,1,1,1,1,0,0,0,0,-2,1,Female,56,0
312,1,1,0,1,0,1,1,1,0,0,0,3,4,Female,57,1
313,1,1,0,1,1,1,1,1,0,0,0,-1,1,Male,25,0
314,0,1,0,1,1,1,1,1,0,0,0,-1,12,Female,47,0
315,1,1,0,1,0,1,0,1,1,0,0,0,1,Male,32,1
316,1,1,0,1,0,1,1,1,0,1,0,3,48,Female,32,1
317,0,1,0,1,1,1,1,1,0,1,0,0,4,Female,57,1
318,1,1,0,1,1,1,1,1,0,0,0,5,48,Male,42,1
319,0,1,0,1,0,1,1,0,0,0,0,2,48,Male,31,1
320,0,0,0,1,1,1,0,0,1,0,1,-3,1,Female,37,0
321,1,1,0,0,0,1,1,1,1,1,0,3,4,Female,33,1
322,1,1,0,1,0,1,0,1,0,0,0,-1,4,Female,46,0
323,1,1,0,1,0,1,0,1,1,0,0,2,4,Female,41,1
324,0,1,0,0,0,1,1,0,0,1,0,-1,4,Male,60,0
325,1,1,0,1,0,1,1,1,0,1,0,2,12,Male,42,1
326,0,1,0,1,0,1,1,1,0,0,0,1,12,Female,45,1
327,1,1,0,1,1,1,0,0,0,0,0,0,4,Male,36,1
328,1,1,0,1,0,0,0,1,1,1,0,2,12,Male,44,1
329,1,1,1,0,1,0,0,1,1,0,0,1,12,Male,34,1
330,1,0,0,1,1,1,1,1,0,0,0,2,4,Male,22,1
331,0,1,0,1,1,1,1,0,0,0,1,-4,4,Male,64,0
332,1,1,0,0,0,1,1,1,0,1,0,5,12,Male,36,1
333,1,1,0,1,1,1,1,1,0,0,0,5,12,Male,23,1
334,0,1,0,1,0,1,1,1,0,0,0,-4,4,Female,69,0
335,0,1,0,1,1,1,1,0,0,0,0,-5,0,Female,64,0
336,1,1,0,1,0,1,1,1,0,0,0,4,4,Male,53,1
337,0,1,0,1,1,0,0,0,0,0,1,-4,0,Female,40,0
338,0,1,0,1,0,1,1,0,0,0,1,-4,4,Female,56,0
339,0,1,0,1,1,0,0,1,0,0,0,2,48,Female,48,1
340,1,0,0,1,0,1,1,1,0,1,0,5,12,Female,62,1
341,1,1,0,0,0,1,1,1,0,1,0,2,4,Female,65,1
342,1,1,0,0,0,1,0,1,1,0,0,4,12,Male,34,1
343,0,1,0,1,1,1,0,0,0,0,1,-5,0,Female,27,0
344,1,1,0,1,0,1,1,1,0,0,0,2,4,Male,25,1
345,1,1,0,1,1,1,1,1,0,0,1,-1,1,Female,55,0
346,1,1,0,1,0,1,1,1,0,0,0,5,48,Female,38,1
347,1,1,0,1,0,1,0,1,1,1,0,1,12,Female,52,1
348,1,1,0,1,0,0,0,1,1,0,0,3,12,Male,36,1
349,1,1,0,1,1,1,1,1,0,0,0,-1,12,Male,36,0
350,1,1,0,1,0,1,0,1,1,0,0,0,12,Female,52,1
351,1,1,0,1,1,1,1,1,1,0,0,5,48,Female,49,1
352,0,1,0,1,0,1,0,1,0,0,0,2,12,Female,58,1
353,1,1,1,0,0,1,1,1,0,1,0,3,12,Female,67,1
354,0,1,0,1,1,1,1,1,0,0,1,1,4,Female,56,1
355,1,1,0,1,1,0,0,1,1,0,0,2,48,Female,43,1
356,1,1,0,1,0,1,1,1,0,0,0,1,48,Female,43,1
357,1,1,0,1,1,1,0,1,1,0,1,1,4,Female,23,1
358,1,1,0,1,1,1,1,1,1,0,0,1,48,Male,29,1
359,0,1,0,1,1,0,0,0,1,0,1,-4,1,Male,32,0
360,0,1,0,1,1,1,1,0,0,0,0,1,48,Female,35,1
361,1,1,0,0,1,1,0,1,1,0,1,2,48,Male,46,1
362,0,1,0,0,0,1,1,1,0,1,0,3,12,Female,55,1
363,1,1,0,1,0,1,1,1,0,0,0,4,48,Female,45,1
364,1,1,0,1,0,0,0,1,1,0,0,2,4,Male,39,1
365,0,1,0,0,0,1,0,1,1,1,1,-3,1,Male,52,0
366,1,1,0,1,0,1,0,1,1,0,0,3,12,Female,53,1
367,1,1,1,1,1,1,0,1,0,0,0,3,12,Male,44,1
368,0,1,0,1,1,1,1,1,0,0,0,1,1,Female,55,1
369,1,1,0,1,0,1,1,1,0,1,0,5,96,Female,21,1
370,0,1,0,0,0,1,1,1,0,0,0,1,12,Male,48,1
371,1,1,1,1,1,0,0,1,1,0,0,3,12,Female,57,1
372,1,1,0,1,1,1,0,1,1,0,0,3,48,Male,26,1
373,1,1,0,0,0,1,1,1,0,0,0,2,12,Female,52,1
374,1,1,0,1,1,1,0,1,1,0,0,4,48,Male,28,1
375,0,1,0,0,0,1,0,1,0,0,0,2,12,Male,58,1
376,1,1,0,0,0,0,1,1,0,1,0,5,12,Male,34,1
377,1,1,0,1,0,1,1,0,0,0,0,-4,4,Male,39,0
378,1,1,1,1,1,1,0,1,1,0,0,3,12,Male,20,1
379,0,1,0,1,0,1,0,0,0,0,1,0,1,Female,61,1
380,1,1,0,1,0,0,0,0,1,0,0,4,48,Male,35,1
381,0,1,0,1,1,1,0,0,1,0,1,-5,0,Male,27,0
382,1,1,0,1,1,1,1,1,0,0,0,3,12,Female,50,1
383,1,1,0,1,1,1,1,1,0,0,0,3,12,Female,58,1
384,0,1,0,1,1,1,1,0,0,0,1,-1,12,Female,29,0
385,1,1,0,1,1,1,0,1,1,0,0,3,48,Male,23,1
386,1,1,0,0,0,1,0,1,0,0,0,2,4,Male,47,1
387,1,1,0,1,1,1,1,1,0,0,0,2,4,Female,58,1
388,0,1,0,1,0,1,0,0,1,0,0,0,12,Female,49,1
389,1,1,0,1,0,1,0,0,0,0,0,1,12,Female,27,1
390,1,1,0,1,1,1,1,1,0,0,0,5,96,Female,20,1
391,1,1,0,1,1,0,0,1,1,0,1,0,4,Male,43,1
392,0,1,0,1,0,1,0,0,1,0,1,0,4,Female,62,1
