yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,Visits/year,Gender
1,1,0,1,1,1,1,1,0,0,0,4,23,12,Female
0,0,0,1,0,1,0,0,1,0,1,0,34,0,Female
0,1,0,0,0,0,0,0,1,0,0,1,47,4,Male
1,1,1,1,1,1,1,1,1,1,1,3,22,48,Male
0,1,0,1,0,1,1,1,0,1,0,0,47,1,Male
1,1,0,1,0,1,1,1,0,0,0,4,56,12,Male
0,1,0,1,0,1,1,0,0,1,0,-1,55,4,Male
1,1,0,0,0,1,1,1,0,1,0,3,56,4,Female
0,1,0,1,0,0,0,1,1,0,0,0,56,4,Female
0,1,0,1,1,1,1,1,0,0,0,2,37,4,Female
1,1,0,0,0,1,1,1,0,1,0,5,50,48,Female
0,1,0,1,1,0,0,0,1,0,1,-1,40,4,Male
1,1,0,1,0,1,1,1,0,0,0,4,61,48,Male
0,1,0,1,0,1,0,0,1,0,0,-2,55,4,Male
1,1,1,1,1,1,0,1,1,0,0,-1,45,1,Female
1,1,0,0,0,1,1,1,0,1,0,1,42,12,Male
0,1,0,1,1,1,0,0,0,0,1,2,52,4,Male
0,1,0,1,0,1,1,1,0,0,0,2,58,1,Female
0,1,0,1,0,1,1,1,0,0,0,1,48,12,Male
1,1,0,0,0,1,1,1,0,1,0,3,58,48,Male
0,0,0,1,1,1,0,1,1,0,0,-3,18,1,Male
1,1,0,0,0,1,1,1,0,0,0,4,68,12,Female
1,1,0,1,1,1,1,1,1,0,1,1,49,12,Female
0,1,0,1,1,0,0,1,1,0,0,-5,50,48,Female
1,1,0,1,0,1,0,1,1,0,0,2,43,4,Female
1,1,1,1,0,1,1,1,1,0,0,4,67,4,Male
1,1,0,1,0,1,1,1,0,0,0,1,40,48,Female
1,1,0,1,1,1,1,1,0,0,1,-5,35,0,Male
0,0,0,1,1,0,0,0,1,0,1,-5,42,4,Female
0,1,0,1,0,1,1,1,0,0,0,2,41,4,Female
1,1,0,1,1,1,1,1,0,1,0,4,32,12,Male
1,1,0,1,1,1,0,1,0,0,0,3,21,12,Female
0,1,0,1,1,1,1,1,0,0,0,4,56,48,Female
0,1,0,1,1,1,0,0,0,0,0,2,27,4,Male
0,1,0,1,1,1,0,0,1,0,0,0,48,1,Female
1,1,0,1,0,1,1,1,0,0,0,2,32,48,Male
0,1,0,1,1,1,1,0,0,0,0,3,50,12,Male
1,1,0,1,1,1,0,1,1,0,0,2,42,1,Female
1,1,1,1,1,1,1,1,1,1,1,5,35,96,Male
1,1,1,1,0,1,1,1,0,0,0,4,57,12,Female
1,1,0,1,0,1,0,1,0,0,0,3,68,12,Male
0,1,0,1,0,1,0,0,1,0,0,3,51,12,Female
1,1,0,1,1,0,0,1,1,0,1,-2,42,4,Female
0,1,0,1,0,0,0,0,0,0,0,0,44,4,Female
1,1,0,1,0,1,1,1,0,0,0,2,57,1,Female
0,1,0,1,1,1,1,0,0,0,0,2,56,1,Female
0,1,1,1,0,0,0,0,0,0,0,-2,57,4,Female
1,1,0,0,0,1,0,1,1,1,0,5,33,48,Female
0,0,0,1,1,0,0,0,1,0,1,-3,63,4,Male
1,1,0,1,0,1,0,1,1,0,0,2,55,12,Male
0,1,0,1,1,0,0,0,1,0,0,0,39,4,Female
0,1,0,1,0,1,1,0,0,0,0,-3,65,0,Male
1,1,1,1,1,1,1,1,0,1,0,4,47,48,Female
1,1,0,1,0,1,1,1,0,1,0,1,37,4,Female
0,1,0,1,1,1,1,0,0,0,1,-1,22,1,Male
0,1,0,1,1,1,1,0,0,0,0,-2,51,4,Male
1,1,0,0,0,1,1,1,0,1,0,5,24,12,Female
1,1,1,1,1,1,1,1,1,0,0,1,49,12,Female
1,1,0,1,0,1,0,1,1,1,0,5,55,12,Female
0,1,0,1,0,1,1,0,0,0,1,-5,48,1,Male
1,1,0,1,1,1,1,1,0,0,0,3,24,4,Female
0,1,0,1,0,1,0,1,1,0,0,-2,47,4,Male
0,1,0,1,0,1,1,0,0,0,1,-4,54,1,Male
1,1,0,1,0,1,1,1,0,0,0,4,23,48,Female
0,1,0,1,1,1,1,0,0,1,0,1,34,4,Female
1,1,0,1,1,1,1,1,0,0,1,3,32,12,Female
0,1,0,0,0,1,1,0,0,0,0,3,58,12,Female
0,1,0,1,0,1,0,0,1,0,0,0,46,1,Female
1,1,0,1,0,1,1,1,0,0,0,0,23,4,Female
1,1,0,1,1,1,1,1,0,0,0,1,31,12,Male
0,1,0,1,1,1,1,1,0,0,0,0,59,1,Male
0,1,1,1,1,1,0,0,1,1,0,0,47,12,Male
1,1,0,1,0,1,1,1,0,0,0,3,58,96,Female
1,1,0,1,0,1,1,1,0,0,0,4,55,4,Male
1,1,0,1,1,0,1,1,0,0,0,4,62,12,Female
1,1,0,1,1,1,1,1,0,0,0,2,20,12,Male
0,1,0,1,0,1,1,1,0,0,0,0,42,4,Male
0,1,0,1,1,1,1,0,0,0,1,-3,29,12,Male
0,1,0,1,0,1,0,0,1,0,0,1,63,12,Male
0,1,0,1,1,1,1,1,0,0,1,2,26,48,Male
1,0,0,1,1,1,1,1,0,0,0,5,19,12,Female
1,1,0,1,0,1,1,1,0,0,0,1,61,1,Female
1,1,0,1,1,1,0,1,1,0,0,5,19,48,Male
1,1,0,1,0,1,0,1,1,1,0,4,56,12,Female
0,1,0,1,1,1,0,0,1,0,1,-4,39,1,Female
1,1,0,1,1,1,0,1,1,0,0,0,45,12,Male
0,0,0,1,1,0,0,0,1,0,1,-5,52,1,Male
1,1,0,0,0,1,1,1,0,1,0,0,42,12,Female
1,1,0,1,1,1,0,1,1,0,0,3,47,12,Female
1,1,0,1,0,1,1,1,0,0,0,5,22,48,Female
1,1,1,1,1,1,1,1,0,0,0,2,63,12,Male
1,1,0,1,1,1,1,1,0,0,0,5,65,4,Female
0,1,0,0,0,1,1,1,0,0,0,1,63,4,Male
1,1,0,1,1,1,0,1,1,0,0,3,25,12,Male
1,1,0,1,1,1,0,1,1,0,0,1,62,1,Male
0,1,0,1,1,0,1,0,0,0,0,0,59,1,Female
0,1,0,1,1,1,1,1,0,0,0,1,67,1,Male
0,0,0,1,1,1,0,0,1,0,1,-5,60,0,Male
1,1,0,0,0,1,1,1,0,1,0,4,69,48,Male
0,0,0,1,1,1,0,0,1,0,1,-5,40,0,Male
1,1,0,0,0,1,1,1,0,1,0,2,67,1,Male
1,1,0,0,0,1,1,1,0,1,0,2,37,4,Female
0,1,1,0,1,1,0,0,1,0,0,-4,65,4,Male
1,1,0,1,0,1,0,1,1,0,0,3,64,12,Female
1,1,0,1,0,1,1,1,0,0,0,4,57,12,Female
1,1,0,1,1,1,0,1,1,1,0,5,37,48,Male
1,1,0,1,1,1,0,1,1,1,0,2,39,12,Female
1,1,0,1,0,1,0,1,0,0,0,1,64,4,Male
1,1,0,1,1,1,1,1,0,0,1,-2,23,1,Male
1,0,1,1,1,1,1,0,0,0,1,2,50,48,Female
0,1,0,1,1,1,0,0,1,0,1,-4,60,4,Male
0,1,0,1,1,1,0,0,1,0,1,-2,32,1,Male
0,1,0,1,1,1,1,0,0,0,1,-5,59,0,Female
0,0,0,1,0,1,0,0,1,0,1,-2,37,12,Male
1,1,0,1,1,1,0,1,0,1,0,3,25,96,Female
0,1,0,0,0,1,0,0,0,0,0,3,55,12,Male
0,1,0,1,1,1,0,1,1,0,1,-2,25,12,Male
0,1,0,0,0,1,1,0,0,1,1,-3,35,1,Female
0,0,1,1,1,1,1,0,0,0,1,-4,58,0,Female
0,1,0,1,1,1,1,0,0,0,1,-5,32,0,Male
1,1,0,1,1,1,1,1,1,0,1,-5,45,0,Female
0,1,0,1,0,1,0,0,1,0,0,-3,60,1,Female
0,1,0,1,0,1,1,1,0,0,0,3,59,1,Male
0,1,0,1,0,1,1,0,0,0,0,0,36,12,Female
0,1,0,1,1,1,1,0,0,0,1,0,55,1,Male
1,1,0,1,0,1,1,0,0,0,0,1,55,4,Female
1,1,0,1,0,1,0,1,1,0,0,3,22,12,Female
1,1,0,1,1,1,1,1,0,0,0,3,21,48,Female
1,1,0,1,1,1,1,1,0,0,0,1,62,48,Male
1,1,0,1,1,1,1,1,0,0,0,3,29,12,Male
1,1,0,1,1,1,1,1,0,1,0,1,36,12,Female
0,1,0,1,1,1,0,0,0,0,0,0,44,1,Male
0,1,0,1,1,1,1,0,0,0,0,2,47,1,Female
0,0,0,1,1,0,0,0,1,0,1,-5,57,1,Female
0,1,0,1,0,1,1,1,0,0,0,1,23,1,Female
1,1,0,1,1,1,1,1,0,0,0,5,31,48,Female
1,1,0,0,0,1,1,1,0,1,0,4,70,96,Female
1,1,1,1,0,1,1,1,0,1,0,5,24,48,Male
0,1,0,1,1,1,0,1,1,0,0,3,27,4,Male
0,1,0,1,1,1,1,0,0,0,1,-5,58,0,Female
0,1,1,1,0,1,1,0,0,0,0,2,51,48,Male
0,0,0,1,1,0,0,0,1,0,1,-2,36,4,Male
0,1,0,1,0,1,1,1,0,0,0,0,36,12,Female
0,0,1,1,1,1,0,0,1,0,1,0,43,4,Male
0,1,1,1,1,0,0,0,1,0,1,-3,64,0,Male
0,1,0,1,0,1,0,0,1,0,1,-3,52,12,Male
0,1,0,1,0,1,1,1,0,0,0,1,53,0,Male
0,1,0,1,1,1,0,0,1,0,1,-5,52,0,Female
1,1,1,1,1,1,1,1,0,0,0,3,33,48,Female
1,1,0,1,1,1,1,1,0,0,0,5,24,48,Male
1,1,0,0,0,1,0,1,0,0,0,4,64,12,Female
1,1,1,1,1,1,0,1,1,1,1,3,41,12,Male
0,0,0,1,1,0,1,0,0,0,1,-5,56,1,Female
1,1,0,1,0,1,1,1,0,1,0,4,49,12,Female
1,0,0,1,1,1,0,1,1,0,0,-1,24,1,Female
0,1,0,1,0,1,1,0,0,0,0,2,62,4,Female
0,1,0,0,0,1,1,1,0,0,0,0,56,4,Male
1,1,0,1,1,0,0,1,0,0,0,3,67,4,Male
1,1,0,1,0,1,1,1,0,0,0,3,27,12,Male
0,1,0,1,0,1,0,0,1,0,1,-4,53,1,Male
1,1,1,1,0,1,1,1,0,1,1,-4,60,1,Female
0,1,0,1,1,1,1,1,0,0,0,0,51,1,Female
0,1,1,1,1,1,0,1,1,0,0,-5,67,1,Female
1,1,0,1,0,1,1,1,0,0,0,3,27,12,Female
0,1,0,1,1,1,0,0,1,0,0,0,56,4,Male
1,1,0,1,1,1,1,1,0,0,0,4,39,12,Male
1,1,0,1,0,1,1,1,0,0,0,4,35,48,Female
1,1,0,1,1,1,1,1,0,0,0,2,68,12,Female
1,1,0,0,1,1,1,1,0,1,0,5,57,48,Female
0,1,0,1,1,1,1,0,0,0,1,-5,50,0,Female
1,1,0,0,0,1,1,1,0,1,0,3,64,12,Female
0,1,0,1,0,1,1,0,0,0,0,-3,66,48,Female
1,1,1,0,0,1,1,1,0,1,0,5,27,96,Male
0,0,0,1,0,1,0,0,1,0,1,-5,70,0,Male
0,1,0,1,1,0,1,1,1,0,0,-1,51,12,Male
1,1,0,1,0,1,1,1,0,0,0,0,60,1,Female
0,0,0,1,0,1,0,0,1,0,1,-4,49,1,Female
0,1,0,1,1,1,1,0,0,0,1,-5,54,0,Female
0,0,0,1,1,1,0,0,1,0,1,-5,58,0,Female
0,0,0,0,0,1,1,0,0,0,0,-3,70,12,Female
1,1,0,0,0,1,0,1,1,0,0,3,59,96,Male
0,1,0,1,0,1,1,0,0,1,0,1,54,1,Female
0,1,1,0,1,1,0,0,1,0,0,-3,52,4,Female
1,1,0,1,1,1,1,1,0,1,0,4,22,48,Female
1,1,0,1,1,1,0,1,1,0,0,3,53,4,Female
1,1,0,0,0,1,1,1,0,1,0,5,69,96,Female
0,1,1,1,1,1,0,0,1,0,1,1,20,4,Male
1,1,1,1,0,1,1,0,0,0,0,3,66,12,Female
1,1,0,1,0,1,1,1,0,0,0,5,25,96,Female
1,1,0,1,1,1,0,1,1,0,0,5,31,48,Female
1,1,0,1,0,1,1,1,0,1,0,1,67,12,Female
1,1,1,1,0,1,1,1,0,0,0,3,56,12,Female
0,1,0,1,1,1,1,1,0,0,0,1,48,1,Female
0,1,0,1,0,1,1,0,0,0,0,-1,54,4,Female
1,1,0,0,0,1,1,1,0,1,0,5,58,12,Male
1,1,0,1,0,1,1,1,0,0,0,3,42,48,Female
1,1,0,1,0,1,0,1,0,0,0,4,38,48,Female
0,1,0,1,1,1,1,1,0,1,0,2,28,4,Male
1,1,0,1,0,1,0,1,1,0,0,3,47,48,Female
0,0,0,1,1,1,1,0,0,0,0,0,49,1,Male
0,1,0,1,1,1,1,1,0,0,1,0,40,4,Female
0,0,0,1,1,1,0,1,1,1,1,0,31,48,Male
0,1,1,1,1,1,1,0,0,0,0,-5,50,0,Male
1,0,1,1,0,1,1,1,0,0,0,-1,69,1,Female
1,1,0,1,0,1,1,1,0,1,0,4,40,12,Female
1,1,0,1,1,1,1,1,0,0,1,5,30,12,Male
0,1,0,1,1,1,1,1,0,0,1,-3,44,1,Male
1,1,0,1,1,1,0,1,1,0,0,3,32,12,Male
1,1,0,1,0,1,1,1,0,0,0,3,67,48,Male
1,1,0,1,1,1,1,1,0,0,0,5,18,48,Female
0,1,0,1,1,1,1,0,0,0,0,-3,27,1,Female
0,1,0,1,1,1,0,0,1,0,0,-1,61,1,Female
0,1,0,1,0,1,1,0,0,0,0,-4,47,1,Male
1,1,0,1,1,1,1,1,0,0,0,-4,20,4,Male
1,1,0,1,1,1,1,1,0,0,0,4,26,48,Male
0,1,0,1,0,1,1,0,0,0,0,-4,65,1,Female
0,0,1,1,1,0,0,0,1,0,1,-5,64,0,Male
1,1,0,1,1,1,1,1,0,1,0,5,20,48,Male
1,1,0,1,1,0,0,1,1,0,0,2,29,12,Female
1,1,1,1,1,1,0,1,1,0,0,2,45,12,Female
1,0,0,1,0,1,1,1,0,0,0,0,31,1,Female
1,1,0,1,1,1,1,1,0,0,0,5,41,48,Female
0,0,0,1,0,1,0,0,1,0,0,-5,61,0,Female
0,0,0,1,1,1,0,0,1,0,1,-5,69,0,Female
0,1,0,1,1,1,1,0,0,0,1,1,28,12,Male
0,1,0,0,0,1,0,0,0,0,0,3,68,12,Male
0,0,0,1,0,1,1,0,0,0,0,-4,60,0,Male
1,1,0,1,1,1,0,1,0,0,0,0,56,1,Female
0,1,0,1,0,1,0,0,1,0,0,0,61,1,Female
0,1,1,1,1,1,0,1,1,0,0,0,61,48,Male
0,1,0,1,0,1,1,0,0,0,0,-4,63,1,Male
0,1,0,1,0,1,1,1,0,0,0,3,40,12,Female
0,1,0,1,1,1,1,1,0,1,0,-1,36,4,Male
1,1,0,1,1,1,1,0,0,0,0,1,30,12,Female
1,1,0,1,0,1,0,1,1,0,0,4,32,12,Female
1,1,0,0,0,1,0,1,1,1,0,5,37,96,Male
1,1,0,1,0,0,1,1,0,1,0,3,61,48,Male
1,1,0,1,1,1,0,1,1,0,0,3,34,12,Female
1,1,0,1,1,1,0,1,1,0,0,1,24,12,Male
1,1,0,1,1,0,0,1,1,0,0,1,39,12,Male
0,1,0,1,0,1,0,1,1,0,0,0,50,4,Male
1,1,0,1,0,1,0,1,1,1,0,1,46,12,Male
1,1,0,1,0,1,0,0,1,0,0,2,43,12,Female
1,1,0,1,0,1,1,1,0,0,0,4,36,12,Male
1,0,0,0,1,0,0,1,1,0,1,-5,26,48,Male
1,1,0,1,0,1,1,1,0,1,0,2,32,12,Female
0,0,0,1,1,0,0,0,1,0,1,-5,50,0,Female
0,1,0,1,1,1,1,0,0,0,0,-2,56,1,Female
1,1,0,1,0,1,1,1,0,0,0,3,57,4,Female
1,1,0,1,1,1,1,1,0,0,0,-1,25,1,Male
0,1,0,1,1,1,1,1,0,0,0,-1,47,12,Female
1,1,0,1,0,1,0,1,1,0,0,0,32,1,Male
1,1,0,1,0,1,1,1,0,1,0,3,32,48,Female
0,1,0,1,1,1,1,1,0,1,0,0,57,4,Female
1,1,0,1,1,1,1,1,0,0,0,5,42,48,Male
0,1,0,1,0,1,1,0,0,0,0,2,31,48,Male
0,0,0,1,1,1,0,0,1,0,1,-3,37,1,Female
1,1,0,0,0,1,1,1,1,1,0,3,33,4,Female
1,1,0,1,0,1,0,1,0,0,0,-1,46,4,Female
1,1,0,1,0,1,0,1,1,0,0,2,41,4,Female
0,1,0,0,0,1,1,0,0,1,0,-1,60,4,Male
1,1,0,1,0,1,1,1,0,1,0,2,42,12,Male
0,1,0,1,0,1,1,1,0,0,0,1,45,12,Female
1,1,0,1,1,1,0,0,0,0,0,0,36,4,Male
1,1,0,1,0,0,0,1,1,1,0,2,44,12,Male
1,1,1,0,1,0,0,1,1,0,0,1,34,12,Male
1,0,0,1,1,1,1,1,0,0,0,2,22,4,Male
0,1,0,1,1,1,1,0,0,0,1,-4,64,4,Male
1,1,0,0,0,1,1,1,0,1,0,5,36,12,Male
1,1,0,1,1,1,1,1,0,0,0,5,23,12,Male
0,1,0,1,0,1,1,1,0,0,0,-4,69,4,Female
0,1,0,1,1,1,1,0,0,0,0,-5,64,0,Female
1,1,0,1,0,1,1,1,0,0,0,4,53,4,Male
0,1,0,1,1,0,0,0,0,0,1,-4,40,0,Female
0,1,0,1,0,1,1,0,0,0,1,-4,56,4,Female
0,1,0,1,1,0,0,1,0,0,0,2,48,48,Female
1,0,0,1,0,1,1,1,0,1,0,5,62,12,Female
1,1,0,0,0,1,1,1,0,1,0,2,65,4,Female
1,1,0,0,0,1,0,1,1,0,0,4,34,12,Male
0,1,0,1,1,1,0,0,0,0,1,-5,27,0,Female
1,1,0,1,0,1,1,1,0,0,0,2,25,4,Male
1,1,0,1,1,1,1,1,0,0,1,-1,55,1,Female
1,1,0,1,0,1,1,1,0,0,0,5,38,48,Female
1,1,0,1,0,1,0,1,1,1,0,1,52,12,Female
1,1,0,1,0,0,0,1,1,0,0,3,36,12,Male
1,1,0,1,1,1,1,1,0,0,0,-1,36,12,Male
1,1,0,1,0,1,0,1,1,0,0,0,52,12,Female
1,1,0,1,1,1,1,1,1,0,0,5,49,48,Female
0,1,0,1,0,1,0,1,0,0,0,2,58,12,Female
1,1,1,0,0,1,1,1,0,1,0,3,67,12,Female
0,1,0,1,1,1,1,1,0,0,1,1,56,4,Female
1,1,0,1,1,0,0,1,1,0,0,2,43,48,Female
1,1,0,1,0,1,1,1,0,0,0,1,43,48,Female
1,1,0,1,1,1,0,1,1,0,1,1,23,4,Female
1,1,0,1,1,1,1,1,1,0,0,1,29,48,Male
0,1,0,1,1,0,0,0,1,0,1,-4,32,1,Male
0,1,0,1,1,1,1,0,0,0,0,1,35,48,Female
1,1,0,0,1,1,0,1,1,0,1,2,46,48,Male
0,1,0,0,0,1,1,1,0,1,0,3,55,12,Female
1,1,0,1,0,1,1,1,0,0,0,4,45,48,Female
1,1,0,1,0,0,0,1,1,0,0,2,39,4,Male
0,1,0,0,0,1,0,1,1,1,1,-3,52,1,Male
1,1,0,1,0,1,0,1,1,0,0,3,53,12,Female
1,1,1,1,1,1,0,1,0,0,0,3,44,12,Male
0,1,0,1,1,1,1,1,0,0,0,1,55,1,Female
1,1,0,1,0,1,1,1,0,1,0,5,21,96,Female
0,1,0,0,0,1,1,1,0,0,0,1,48,12,Male
1,1,1,1,1,0,0,1,1,0,0,3,57,12,Female
1,1,0,1,1,1,0,1,1,0,0,3,26,48,Male
1,1,0,0,0,1,1,1,0,0,0,2,52,12,Female
1,1,0,1,1,1,0,1,1,0,0,4,28,48,Male
0,1,0,0,0,1,0,1,0,0,0,2,58,12,Male
1,1,0,0,0,0,1,1,0,1,0,5,34,12,Male
1,1,0,1,0,1,1,0,0,0,0,-4,39,4,Male
1,1,1,1,1,1,0,1,1,0,0,3,20,12,Male
0,1,0,1,0,1,0,0,0,0,1,0,61,1,Female
1,1,0,1,0,0,0,0,1,0,0,4,35,48,Male
0,1,0,1,1,1,0,0,1,0,1,-5,27,0,Male
1,1,0,1,1,1,1,1,0,0,0,3,50,12,Female
1,1,0,1,1,1,1,1,0,0,0,3,58,12,Female
0,1,0,1,1,1,1,0,0,0,1,-1,29,12,Female
1,1,0,1,1,1,0,1,1,0,0,3,23,48,Male
1,1,0,0,0,1,0,1,0,0,0,2,47,4,Male
1,1,0,1,1,1,1,1,0,0,0,2,58,4,Female
0,1,0,1,0,1,0,0,1,0,0,0,49,12,Female
1,1,0,1,0,1,0,0,0,0,0,1,27,12,Female
1,1,0,1,1,1,1,1,0,0,0,5,20,96,Female
1,1,0,1,1,0,0,1,1,0,1,0,43,4,Male
0,1,0,1,0,1,0,0,1,0,1,0,62,4,Female
0,0,0,1,0,1,1,0,0,0,1,-5,55,1,Female
0,0,0,1,1,1,1,1,0,0,0,-3,62,1,Female
0,1,0,1,1,1,1,0,0,0,1,-3,56,1,Female
0,1,0,1,0,1,1,0,0,0,0,-4,60,0,Male
1,1,0,1,0,1,1,1,0,0,0,1,42,12,Female
1,1,0,1,1,1,1,1,0,0,0,4,26,48,Female
0,1,0,1,0,1,1,0,0,0,0,-1,55,1,Female
1,1,0,1,0,1,0,1,0,0,0,4,42,48,Male
0,1,0,0,0,1,1,1,0,1,0,3,67,1,Female
1,1,0,1,0,1,0,1,1,0,0,3,43,48,Male
0,1,0,1,1,1,1,0,0,0,0,0,42,12,Female
1,1,0,0,0,1,1,1,0,1,0,5,50,48,Female
0,1,0,1,1,1,1,0,0,0,1,-4,20,1,Female
0,0,0,1,0,1,0,0,1,0,1,-5,50,0,Male
1,1,1,1,1,1,0,1,1,0,0,1,60,1,Male
1,1,0,1,1,1,1,1,0,0,0,-1,21,0,Male
1,1,0,1,0,1,0,1,1,0,0,4,33,12,Male
1,1,0,1,0,1,1,0,0,0,0,0,68,4,Female
1,1,0,1,1,1,1,1,0,0,0,3,26,12,Male
1,1,0,1,0,1,1,1,0,0,0,1,60,12,Female
1,1,0,1,1,1,0,1,1,0,0,3,52,4,Female
1,1,1,0,0,1,1,1,0,1,0,4,70,4,Female
0,0,0,1,1,1,1,0,1,0,1,-5,44,1,Female
1,1,0,1,1,1,0,1,1,0,0,2,23,4,Female
0,1,1,1,0,1,0,0,0,0,0,-1,62,4,Female
0,1,1,1,0,1,1,1,0,0,0,2,59,48,Female
1,1,0,0,0,1,1,1,0,1,0,5,66,48,Female
0,1,0,1,0,1,0,0,1,1,0,1,44,12,Male
1,1,0,1,1,1,0,1,1,0,0,3,25,12,Male
1,1,0,1,0,0,0,1,1,1,0,3,41,12,Male
1,1,0,0,0,1,1,1,0,0,0,4,41,96,Male
1,1,0,0,0,1,1,1,0,1,0,3,33,48,Male
0,1,0,1,1,1,0,0,1,0,1,1,45,12,Female
1,1,0,1,0,1,1,1,0,1,0,5,23,96,Female
0,0,0,1,1,1,0,0,1,0,1,-4,52,1,Female
0,1,0,1,0,1,1,0,0,0,0,2,63,12,Female
1,1,1,1,1,1,1,1,1,1,1,4,48,12,Female
0,1,0,1,1,1,0,1,1,0,1,-5,52,0,Male
0,0,0,1,1,1,1,0,1,0,1,-5,50,0,Male
1,1,0,1,1,1,1,1,0,1,1,2,28,12,Male
1,1,0,1,1,1,0,1,1,0,1,1,24,12,Male
0,1,0,1,0,0,0,0,1,0,0,0,45,48,Female
1,1,0,1,1,0,0,0,1,0,0,2,26,4,Female
1,1,0,1,1,1,0,1,0,0,1,1,19,4,Male
0,1,0,1,0,1,0,1,1,0,0,2,45,4,Male
0,1,0,0,0,1,0,0,1,1,0,1,44,4,Male
1,1,0,1,1,1,0,1,0,0,0,2,47,12,Male
0,1,0,1,0,1,1,1,0,0,0,3,28,12,Male
0,1,0,1,0,1,1,0,0,0,0,2,62,4,Female
1,1,1,0,1,1,1,1,0,0,0,-1,33,48,Male
